EndNode1,EndNode2,ID,EID,MaxSpeed,Capacity,Lanes,InRoundbaout,Length
1,2,404,220,30,0,1,0,67.2
1,218,1786,2208,30,0,1,0,16.88
2,220,1826,2266,30,0,1,0,18.62
3,4,405,223,30,0,1,0,49.27
3,358,6422,9558,30,0,1,0,4.53
4,54,6051,8904,30,0,1,0,36.35
4,208,1609,1971,30,0,1,0,90.51
5,6,409,228,30,0,1,0,22.21
5,154,2045,2592,30,0,1,0,29.73
6,5,410,229,30,0,1,0,21.94
6,206,1606,1964,30,0,1,0,26.97
6,240,2047,2594,30,0,1,0,40.11
7,77,616,553,30,0,1,0,85.58
7,434,421,247,50,0,2,0,50.95
8,9,422,248,30,0,1,0,154.26
8,102,783,796,30,0,1,0,32.67
8,457,3128,4100,30,0,1,0,63.13
9,211,4165,5751,30,0,1,0,16.12
9,456,1578,1914,30,0,1,0,55.97
10,9,423,250,30,0,1,0,92.22
10,116,4013,5500,10,0,1,0,55.2
10,198,5698,8326,30,0,1,0,50.55
11,12,428,256,30,0,1,0,79.7
11,363,5201,7474,30,0,1,0,107.98
12,35,1366,1630,30,0,1,0,54.26
12,158,3927,5350,30,0,1,0,15.59
12,299,4163,5748,30,0,1,0,41.73
13,14,431,260,30,0,1,0,67.9
13,146,1057,1194,30,0,1,0,35.29
13,291,6678,10029,30,0,1,0,111.24
14,37,492,383,30,0,1,0,27.88
14,217,5454,7924,30,0,1,0,34.16
15,16,432,263,30,0,1,0,79.91
16,350,5811,8509,30,0,1,0,16.08
17,18,434,267,30,0,1,0,24.93
17,49,517,424,30,0,1,0,51.05
17,147,1063,1200,30,0,1,0,28.53
18,15,975,1078,30,0,1,0,115.71
18,378,6102,8995,30,0,1,0,8.07
19,20,437,274,30,0,1,0,44.22
19,317,5262,7578,30,0,1,0,37.07
20,50,1214,1419,30,0,1,0,43.71
21,22,438,278,30,0,1,0,74.16
21,108,3699,4972,30,0,1,0,5.74
21,271,4924,7034,30,0,1,0,33.38
21,272,2693,3472,30,0,1,0,62.16
22,21,439,279,30,0,1,0,74.52
22,259,2823,3661,30,0,1,0,49.22
22,266,5313,7665,30,0,1,0,77.25
23,24,440,280,30,0,1,0,36.56
23,182,1735,2144,30,0,1,0,23.51
24,75,2901,3762,30,0,1,0,73.18
24,94,4839,6889,30,0,1,0,37.09
25,26,449,300,30,0,1,0,41.21
25,76,607,541,30,0,1,0,90.49
26,25,450,301,30,0,1,0,41.27
26,166,1223,1431,30,0,1,0,4.47
27,28,451,303,50,0,2,0,95.58
27,152,1072,1212,30,0,1,0,78.47
28,70,914,988,50,0,2,0,25.73
28,152,4170,5756,30,0,1,0,48.49
29,30,454,308,30,0,1,0,58.29
29,338,6036,8879,30,0,1,0,6.48
30,29,455,309,30,0,1,0,58.14
30,371,8140,12647,30,0,1,0,13.22
31,32,474,342,30,0,1,0,27.23
31,168,3676,4941,30,0,1,0,18.18
32,31,475,343,30,0,1,0,27.16
32,390,7883,12111,30,0,1,0,30.53
33,34,477,348,30,0,1,0,15.48
33,102,3215,4206,30,0,1,0,36.05
33,187,5499,8001,30,0,1,0,27.24
34,203,1580,1916,30,0,1,0,40.45
35,36,487,369,30,0,1,0,43.89
35,299,3408,4505,30,0,1,0,40.79
36,276,7474,11370,30,0,1,0,15.43
36,319,6945,10491,30,0,1,0,30.67
37,291,3297,4357,30,0,1,0,6.01
38,13,493,387,30,0,2,0,49.06
39,134,1000,1114,30,0,1,0,29.26
39,164,4296,5970,30,0,1,0,5.1
40,41,499,395,30,0,1,0,86.38
41,91,1581,1920,30,0,1,0,52.7
41,238,2186,2780,30,0,1,0,42.62
42,77,3462,4605,30,0,1,0,68.62
