EndNode1,EndNode2,TurnID,DualNode,Weight
1,3,185632,2,1.0
2,435,132046,218,1.0
3,438,186198,220,1.0
4,6,141476,4,1.0
4,7,141475,4,1.0
5,664,178034,358,1.0
6,109,154036,54,1.0
6,110,154037,54,1.0
7,415,103860,208,1.0
7,416,103859,208,1.0
8,11,118179,6,1.0
8,12,118180,6,1.0
9,320,144512,154,1.0
9,321,144513,154,1.0
10,9,118177,5,1.0
11,413,133973,206,1.0
12,479,181510,240,1.0
13,156,111920,77,1.0
13,157,111921,77,1.0
15,18,127629,9,1.0
15,19,127628,9,1.0
16,208,181969,102,1.0
16,209,181968,102,0.0
18,422,100971,211,1.0
18,423,100972,211,1.0
20,18,127631,9,1.0
20,19,127630,9,1.0
21,240,151905,116,1.0
22,402,150529,198,1.0
23,25,136111,12,1.0
23,26,136112,12,1.0
23,27,136113,12,1.0
24,670,189744,363,1.0
25,74,172298,35,1.0
25,75,172299,35,1.0
26,329,189330,158,1.0
26,330,189331,158,1.0
27,578,151450,299,1.0
27,579,151449,299,1.0
28,31,137827,14,1.0
28,32,137828,14,1.0
29,305,135515,146,1.0
30,567,110163,291,1.0
31,78,110164,37,1.0
32,433,137835,217,1.0
32,434,137834,217,1.0
33,34,143640,16,1.0
34,655,128523,350,1.0
35,38,148268,18,1.0
35,39,148269,18,1.0
36,100,184392,49,1.0
37,307,185449,147,1.0
38,33,160370,15,1.0
39,691,148267,378,1.0
40,42,193278,20,1.0
41,610,191563,317,1.0
42,101,168164,50,1.0
43,48,168160,22,1.0
43,49,168161,22,1.0
44,224,179782,108,1.0
45,536,190975,271,1.0
46,538,156411,272,1.0
47,44,152181,21,1.0
47,45,152182,21,1.0
47,46,152180,21,1.0
48,516,127611,259,1.0
48,517,127612,259,1.0
48,518,127613,259,1.0
49,528,127619,266,1.0
50,52,156726,24,1.0
50,53,156727,24,1.0
51,374,140228,182,1.0
51,375,140229,182,1.0
52,152,166703,75,1.0
52,153,166704,75,1.0
53,190,108177,94,1.0
54,57,172709,26,1.0
55,155,131819,76,1.0
56,55,138458,25,1.0
57,343,118327,166,1.0
57,344,118328,166,1.0
57,345,118326,166,1.0
58,60,127336,28,1.0
58,61,127337,28,0.3
59,315,146578,152,1.0
59,316,146576,152,1.0
59,317,146577,152,1.0
60,141,183157,70,1.0
61,316,146583,152,1.0
61,317,146584,152,1.0
62,65,148300,30,1.0
63,639,116575,338,1.0
64,63,131916,29,1.0
65,682,134105,371,1.0
66,69,187624,32,1.0
67,349,132882,168,1.0
68,67,159459,31,1.0
69,709,187623,390,1.0
70,73,142805,34,1.0
71,207,181972,102,1.0
71,209,181973,102,0.0
72,382,106044,187,1.0
72,383,106045,187,1.0
73,409,184892,203,1.0
74,76,137356,36,1.0
74,77,137355,36,1.0
75,577,151447,299,1.0
75,578,151448,299,1.0
75,579,151446,299,1.0
76,543,160909,276,1.0
76,544,160908,276,1.0
77,613,132579,319,1.0
78,567,110162,291,1.0
79,28,135508,13,1.0
79,29,135509,13,1.0
79,30,135510,13,1.0
80,280,157517,134,1.0
80,281,157516,134,1.0
81,338,150693,164,1.0
81,339,150694,164,1.0
82,83,105718,41,1.0
82,84,105719,41,1.0
83,183,110167,91,1.0
84,473,105724,238,1.0
84,474,105725,238,1.0
84,475,105723,238,1.0
85,157,111922,77,1.0
87,3,185633,2,1.0
88,89,184430,44,1.0
89,566,184429,290,1.0
90,92,195761,46,1.0
90,93,195762,46,1.0
91,378,120472,184,1.0
92,227,151438,110,1.0
92,228,151439,110,1.0
93,550,107395,280,1.0
93,551,107396,280,1.0
94,98,158274,48,1.0
94,99,158273,48,1.0
95,210,109266,103,1.0
96,628,144797,330,1.0
97,95,118944,47,1.0
97,96,118943,47,1.0
98,496,165558,249,1.0
99,636,128331,336,1.0
100,519,179547,260,1.0
101,102,115035,51,1.0
101,103,115036,51,1.0
102,318,129389,153,1.0
103,535,188457,270,1.0
104,622,119105,326,1.0
105,623,197861,327,1.0
106,394,153187,194,1.0
106,395,153185,194,1.0
106,396,153186,194,1.0
107,761,198511,414,1.0
107,762,198510,414,3.33333333333333
107,763,198512,414,3.33333333333333
108,7,141479,4,1.0
109,111,191125,55,1.0
110,256,121625,122,1.0
111,414,159266,207,1.0
112,114,153034,57,1.0
113,724,197744,400,1.0
113,726,197743,400,1.0
113,727,197745,400,1.0
114,728,197761,401,1.0
114,729,197759,401,1.0
114,731,197760,401,2.0
115,116,195374,59,1.0
116,597,119890,310,1.0
117,121,163279,61,1.0
117,122,163278,61,1.0
118,273,178552,130,1.0
118,274,178553,130,1.0
119,485,186513,243,1.0
120,118,119176,60,1.0
120,119,119175,60,1.0
121,262,115690,126,1.0
121,263,115691,126,1.0
122,440,112255,221,1.0
122,441,112254,221,1.0
123,126,186342,63,1.0
123,127,186341,63,1.0
124,722,197724,399,1.0
124,723,197725,399,0.5
125,124,142272,62,1.0
126,512,186346,257,1.0
126,513,186345,257,1.0
127,745,197870,406,1.0
127,746,197871,406,1.0
128,132,148605,65,1.0
128,133,148604,65,1.0
129,143,139398,71,1.0
129,144,139397,71,1.0
129,145,139399,71,2.0
130,189,108176,94,1.0
130,190,108175,94,1.0
131,129,134371,64,1.0
131,130,134372,64,0.5
132,229,103312,111,1.0
132,230,103313,111,1.0
133,721,197730,399,1.0
133,723,197731,399,1.0
134,135,190847,67,1.0
134,136,190848,67,1.0
135,176,120272,87,1.0
135,177,120273,87,1.0
136,286,187752,136,1.0
136,287,187751,136,1.0
137,58,130376,27,1.0
137,59,130377,27,0.3
138,406,190819,201,1.0
139,542,105921,275,1.0
141,732,197764,402,1.0
141,734,197765,402,1.11111111111111
141,735,197763,402,0.666666666666667
141,736,0,401,1.0
142,128,134373,64,1.0
